Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2024-01-01,Breakfast,111,0,0,0,0,0,0,353,347,2,0,2,23,0,0,2,1
2024-01-08,Breakfast,1758,54,7,5,10,0,32,888,863,90,15,26,217,0,18,13,31
2024-01-09,Breakfast,2328,125,47,1,7,0,320,1028,710,72,16,16,215,0,18,9,21
2024-01-10,Breakfast,1673,45,3,5,10,0,32,958,773,91,17,18,212,0,18,13,23
2024-01-11,Breakfast,1336,36,2,1,7,0,32,554,710,39,7,16,198,0,13,2,7
2024-01-12,Breakfast,1426,33,2,0,0,0,45,914,497,56,5,24,211,0,0,16,7
2024-01-13,Breakfast,1612,64,19,0,0,1,426,3257,1197,66,7,31,195,0,0,106,13
2024-01-14,Breakfast,241,8,1,0,0,0,3,673,347,16,3,4,26,0,0,6,3
2024-01-16,Breakfast,1696,45,7,0,0,0,93,1813,1126,88,7,28,224,0,0,14,36
2024-01-17,Breakfast,1726,49,6,0,0,0,3,1057,449,72,6,16,232,0,0,6,13
2024-01-18,Breakfast,1801,53,8,0,0,0,105,1743,1076,87,5,15,232,6,3,16,32
2024-01-23,Breakfast,1291,27,2,0,0,0,90,1113,987,31,2,14,214,0,0,10,5
2024-01-24,Breakfast,1421,41,4,0,0,0,30,753,347,42,4,17,205,0,0,10,7
2024-01-25,Breakfast,1498,50,9,5,10,0,1012,665,364,34,2,14,208,0,0,23,32
2024-01-26,Breakfast,1390,31,1,0,0,0,30,290,0,32,2,13,224,0,0,8,6
2024-01-27,Breakfast,1120,25,1,0,0,0,30,290,0,32,2,13,175,0,0,8,6
2024-01-29,Breakfast,1743,33,1,0,0,0,30,290,0,110,4,13,231,0,0,8,6
2024-01-30,Breakfast,1385,26,1,0,0,0,30,290,0,90,3,13,180,0,0,8,6
2024-01-31,Breakfast,1241,32,3,1,0,0,110,384,33,21,2,4,202,0,0,14,7
2024-02-01,Breakfast,1707,42,4,0,0,0,36,794,173,79,13,11,242,0,5,37,25
2024-02-02,Breakfast,1216,38,7,4,7,0,774,414,276,4,0,2,196,0,0,19,21
2024-02-04,Breakfast,2288,76,19,5,9,0,789,1179,368,168,20,65,214,0,0,29,61
2024-02-05,Breakfast,2026,62,16,4,7,0,789,984,276,136,18,56,211,0,0,25,45
2024-02-06,Breakfast,1318,42,8,5,9,0,774,499,328,20,1,11,197,0,0,20,36
2024-02-07,Breakfast,1537,45,8,6,9,0,784,1457,302,43,0,6,218,16,0,77,35
2024-02-08,Breakfast,1306,38,7,4,7,0,784,974,276,8,0,2,214,16,0,69,21
2024-02-09,Breakfast,1456,54,11,5,9,0,791,1038,478,38,3,18,195,11,0,63,36
2024-02-11,Breakfast,3480,129,47,3,6,0,788,4878,207,264,17,27,305,64,48,176,97
2024-02-12,Breakfast,1996,80,13,4,7,0,781,1007,276,85,4,6,226,11,0,53,21
2024-02-13,Breakfast,1805,61,12,4,7,0,787,744,276,37,3,3,251,0,0,11,19
2024-02-14,Breakfast,1276,41,6,4,7,0,744,284,276,1,0,1,205,0,0,11,19
2024-02-15,Breakfast,1801,74,16,5,9,0,947,999,356,72,4,44,202,11,0,47,33
2024-02-17,Breakfast,23,1,0,0,0,0,0,3,0,5,0,3,0,0,0,0,0
2024-02-18,Breakfast,1456,49,9,5,15,0,786,1875,640,20,5,7,221,11,13,55,32
2024-02-19,Breakfast,1816,70,15,4,7,0,816,1397,276,53,2,32,227,13,0,49,27
2024-02-20,Breakfast,1434,48,9,4,8,0,751,937,276,20,1,7,213,11,0,55,23
2024-02-21,Breakfast,1828,90,32,4,9,0,1067,1529,446,30,2,17,219,8,2,38,32
2024-02-22,Breakfast,1126,34,3,0,0,0,0,513,396,10,2,4,181,0,0,2,1
2024-02-23,Breakfast,320,9,2,0,0,0,0,538,297,9,1,3,48,0,0,11,1
2024-02-24,Breakfast,2273,85,23,2,8,1,195,2179,1093,93,9,44,271,0,15,27,14
2024-02-25,Breakfast,1413,45,11,7,16,1,1040,900,2445,62,12,39,224,0,74,43,47
2024-02-26,Breakfast,1436,54,15,3,9,2,540,2263,1876,39,6,24,225,0,21,10,24
2024-02-27,Breakfast,973,26,8,3,9,0,224,926,1603,51,9,12,154,0,71,17,23
2024-02-28,Breakfast,1478,21,4,3,10,1,296,1119,2889,129,23,60,230,4,90,46,46
2024-02-29,Breakfast,1464,47,13,3,10,1,569,1428,2066,77,11,28,220,31,130,12,31
2024-03-01,Breakfast,1130,8,2,2,2,1,296,1066,1840,69,12,26,225,0,67,35,39
2024-03-02,Breakfast,95,0,0,0,0,0,0,303,297,1,0,1,20,0,0,1,1
2024-03-03,Breakfast,1457,34,5,2,2,1,296,665,1966,117,8,40,205,4,72,32,24
2024-03-04,Breakfast,1434,20,3,2,4,1,481,1075,1859,110,12,26,231,0,67,37,42
2024-03-05,Breakfast,1327,33,8,2,2,1,493,1636,1563,55,6,33,235,0,10,20,22
2024-03-06,Breakfast,1710,53,19,2,2,1,576,2906,2630,85,16,34,269,53,67,51,39
2024-03-07,Breakfast,1536,41,8,0,0,0,638,3722,2156,68,3,31,220,0,0,14,1
2024-03-08,Breakfast,1594,45,13,8,14,1,395,1977,2255,90,9,13,238,5,11,46,40
2024-03-09,Breakfast,1774,46,13,4,8,0,1253,2780,3572,97,8,31,245,0,141,40,53
2024-03-10,Breakfast,1377,6,2,0,0,0,120,2125,726,268,0,30,69,0,0,26,402
2024-03-11,Breakfast,1199,16,4,2,1,0,332,995,1654,90,20,17,219,0,9,41,42
2024-03-12,Breakfast,1346,39,43,2,2,1,481,2290,2009,59,10,33,227,4,21,16,22
2024-03-13,Breakfast,2338,97,35,7,14,0,1253,1003,2527,115,17,17,235,7,199,33,51
2024-03-14,Breakfast,1736,69,21,3,8,0,441,860,1131,97,15,43,198,4,62,48,102
2024-03-15,Breakfast,2333,70,19,13,24,0,1040,2744,2432,198,25,59,249,13,77,108,72
2024-03-16,Breakfast,1371,27,4,2,3,1,296,963,2184,84,6,27,212,4,82,24,29
2024-03-17,Breakfast,1682,42,12,6,9,0,858,1369,3164,214,54,15,153,1,210,65,62
2024-03-18,Breakfast,2284,55,17,7,10,1,1080,1221,4680,221,27,33,261,5,248,77,80
2024-03-19,Breakfast,2114,46,13,5,9,1,1227,1685,1915,212,8,30,240,16,79,20,70
2024-03-20,Breakfast,2157,45,15,5,9,1,1080,1128,4879,218,25,32,255,17,284,74,79
2024-03-21,Breakfast,2290,70,17,9,11,1,1252,1584,2090,204,11,48,244,16,75,21,61
2024-03-22,Breakfast,1046,36,6,0,0,0,0,647,1389,149,16,71,43,7,152,26,4
2024-03-23,Breakfast,1102,15,3,2,2,1,306,639,1656,65,3,13,207,0,78,35,25
2024-03-24,Breakfast,2435,90,24,7,8,0,1132,1029,2964,196,13,27,238,13,187,14,133
2024-03-25,Breakfast,2070,45,15,5,9,1,1080,1133,4218,196,21,33,252,17,175,73,69
2024-03-26,Breakfast,2051,56,15,5,9,1,1253,1353,1977,175,9,45,245,16,64,20,60
2024-03-27,Breakfast,2070,45,15,5,9,1,1080,1134,4223,196,22,25,252,17,237,72,72
2024-03-28,Breakfast,1636,65,16,4,8,1,1200,1330,1537,63,4,14,231,16,18,13,36
2024-03-29,Breakfast,1462,65,22,9,13,1,1209,2840,1423,89,10,61,128,47,288,43,38
2024-03-30,Breakfast,2042,109,41,4,8,0,3356,1269,908,61,7,14,208,16,73,40,71
2024-03-31,Breakfast,1901,67,21,12,12,1,1118,2028,2054,96,9,22,256,22,79,82,65
2024-04-01,Breakfast,1964,45,16,5,9,1,1085,1136,3711,180,22,27,241,17,244,118,80
2024-04-02,Breakfast,2466,88,29,4,23,1,1405,2738,2629,165,16,27,287,31,129,60,79
2024-04-03,Breakfast,622,35,12,3,8,0,764,507,521,39,8,4,38,16,43,29,37
2024-04-03,Dinner,1020,48,18,0,0,0,390,420,0,0,0,0,138,0,0,0,90
2024-04-03,Lunch,404,2,1,0,0,0,15,232,133,63,3,19,35,0,62,74,4
2024-04-04,Breakfast,725,35,12,2,5,0,578,623,317,75,6,31,31,12,41,25,24
2024-04-04,Dinner,733,27,8,0,0,0,427,1253,0,37,0,24,88,0,0,0,0
2024-04-04,Lunch,957,12,4,2,2,1,306,408,3001,75,12,5,169,1,142,14,38
2024-04-05,Breakfast,430,23,9,2,5,0,593,628,317,11,3,4,44,12,41,25,27
2024-04-05,Dinner,1120,50,18,0,0,0,405,660,0,0,0,0,158,0,0,0,93
2024-04-05,Lunch,505,9,2,0,0,0,15,294,115,69,4,18,38,0,54,74,5
2024-04-06,Breakfast,431,22,6,0,0,0,645,661,396,5,1,3,48,18,0,8,15
2024-04-06,Snacks,130,7,3,0,0,0,5,100,0,19,0,11,1,0,0,0,4
2024-04-07,Dinner,1507,56,19,1,1,0,632,837,884,23,6,9,257,0,94,73,122
2024-04-08,Breakfast,300,3,1,1,1,0,0,3,181,61,5,25,7,0,0,8,12
2024-04-08,Dinner,1122,18,9,2,2,1,346,637,3538,86,10,28,182,21,129,73,36
2024-04-08,Lunch,527,25,5,0,0,0,15,419,133,35,6,22,44,0,62,74,10
2024-04-08,Snacks,45,1,0,0,0,0,0,12,140,9,2,3,1,0,35,4,12
2024-04-09,Breakfast,343,21,6,3,5,0,491,263,381,17,4,7,21,0,63,12,29
2024-04-09,Dinner,703,33,14,0,0,0,182,1209,720,52,2,21,47,10,4,370,2
2024-04-09,Lunch,793,17,8,2,5,1,334,551,1369,26,2,6,163,0,10,7,27
2024-04-10,Breakfast,618,28,10,3,21,0,517,893,322,58,8,7,34,15,37,36,45
2024-04-10,Dinner,1020,48,18,0,0,0,390,420,0,0,0,0,138,0,0,0,90
2024-04-10,Lunch,337,9,2,0,0,0,15,294,133,28,4,19,37,0,62,74,6
2024-04-11,Breakfast,429,18,6,4,6,0,492,205,467,42,6,8,24,0,35,14,34
2024-04-11,Dinner,706,20,7,0,1,0,275,965,73,69,1,15,62,2,0,10,11
2024-04-11,Lunch,957,16,5,2,2,1,306,440,2738,66,11,5,170,1,121,13,38
2024-04-11,Snacks,35,0,0,0,0,0,0,1,131,9,1,7,1,0,0,2,1
2024-04-12,Breakfast,575,32,8,3,6,0,491,327,467,44,8,7,30,0,35,14,38
2024-04-12,Dinner,275,10,3,0,0,0,160,470,0,14,0,9,33,0,0,0,0
2024-04-12,Lunch,841,8,3,2,2,1,306,375,2623,57,10,4,166,0,112,13,34
2024-04-12,Snacks,90,4,2,0,0,0,2,40,0,10,0,10,2,0,0,1,0
2024-04-13,Lunch,116,6,3,0,0,0,10,368,10,21,17,2,8,0,0,9,3
2024-04-13,Snacks,42,3,1,0,0,0,1,7,0,5,0,4,1,0,0,1,2
2024-04-14,Breakfast,1671,76,25,4,8,0,1322,1042,562,37,6,22,222,0,90,91,137
2024-04-14,Dinner,35,3,0,1,2,0,0,0,44,1,1,0,1,0,0,2,1
2024-04-14,Lunch,204,8,3,0,0,0,5,84,149,32,3,19,3,0,93,3,5
2024-04-15,Breakfast,551,34,9,7,14,0,982,480,470,22,2,10,37,4,0,19,31
2024-04-15,Dinner,1140,55,22,0,0,0,405,738,10,19,19,2,147,0,0,11,93
2024-04-15,Lunch,377,9,2,0,0,0,15,298,267,37,6,25,38,0,148,77,6
2024-04-15,Snacks,45,1,0,0,0,0,0,12,140,9,2,3,1,0,35,4,12
2024-04-16,Breakfast,1649,56,16,4,6,1,1054,2077,1792,94,34,37,252,4,139,29,57
2024-04-16,Lunch,504,41,6,4,11,0,0,189,360,25,9,10,18,0,55,10,16
2024-04-17,Breakfast,578,28,9,5,10,0,982,498,727,44,5,22,36,4,175,23,41
2024-04-17,Dinner,1140,55,21,0,0,0,390,980,20,28,28,1,152,0,0,10,96
2024-04-17,Lunch,399,12,2,1,1,0,15,257,280,42,8,7,33,0,63,69,15
2024-04-18,Breakfast,421,22,7,4,7,0,744,401,416,27,2,12,27,4,35,15,33
2024-04-18,Dinner,939,27,8,0,0,0,427,1255,55,82,1,24,92,0,0,2,11
2024-04-18,Lunch,1077,44,5,5,10,0,75,1290,476,51,13,9,124,0,52,76,34
2024-04-18,Snacks,44,0,0,0,0,0,0,4,149,11,2,7,1,0,93,3,1
2024-04-19,Breakfast,427,26,8,5,10,0,982,379,520,13,2,8,34,0,93,18,27
2024-04-19,Dinner,681,12,5,2,2,1,296,892,1321,28,28,1,172,0,10,15,26
2024-04-19,Lunch,760,33,7,0,0,0,115,940,0,92,1,46,27,0,0,0,0
2024-04-19,Snacks,135,3,1,0,0,0,0,117,140,26,2,11,2,4,35,4,14
2024-04-20,Breakfast,831,44,18,7,11,0,1121,637,553,63,5,15,44,20,2,23,38
2024-04-20,Dinner,399,4,1,1,1,0,211,236,925,0,0,0,113,0,7,4,15
2024-04-20,Lunch,370,6,1,0,0,0,59,250,500,38,11,15,47,1,67,23,12
2024-04-20,Snacks,45,1,0,0,0,0,0,12,140,9,2,3,1,0,35,4,12
2024-04-21,Breakfast,2017,61,18,3,6,0,877,1103,1141,148,27,19,232,6,188,114,95
2024-04-22,Breakfast,45,1,0,0,0,0,0,12,140,9,2,3,1,0,35,4,12
2024-04-22,Dinner,1432,80,26,6,17,0,1343,768,704,8,5,2,162,0,12,16,111
2024-04-22,Lunch,508,12,3,1,1,0,17,290,218,66,7,7,37,0,51,78,12
2024-04-22,Snacks,44,0,0,0,0,0,0,4,149,11,2,7,1,0,93,3,1
2024-04-23,Breakfast,535,40,10,7,20,0,923,360,890,11,8,2,33,0,19,15,28
2024-04-23,Dinner,666,21,6,1,0,0,320,950,396,56,6,36,68,0,249,7,3
2024-04-23,Lunch,846,31,7,4,9,0,188,834,1030,69,32,4,124,0,7,20,26
2024-04-23,Snacks,135,3,1,0,0,0,0,117,140,26,2,11,2,4,35,4,14
2024-04-24,Breakfast,110,3,1,0,0,0,0,105,0,21,0,10,1,4,0,0,2
2024-04-24,Lunch,1398,93,33,5,44,0,388,375,2255,9,7,1,146,0,24,8,49
2024-04-24,Snacks,657,11,6,1,1,0,20,330,358,99,9,4,45,0,0,106,20
2024-04-25,Breakfast,865,46,13,6,10,0,678,587,461,74,8,15,40,4,0,15,34
2024-04-25,Dinner,605,21,6,0,0,0,320,1004,457,39,5,20,70,48,169,6,6
2024-04-25,Lunch,788,28,7,3,13,0,255,854,1700,38,36,2,153,0,28,16,27
2024-04-26,Breakfast,466,15,5,0,0,0,12,63,417,72,9,21,13,0,44,3,11
2024-04-26,Dinner,602,9,4,1,1,0,22,326,427,85,8,7,49,0,0,108,13
2024-04-26,Lunch,1507,84,31,3,33,0,291,1562,1831,14,3,8,168,0,37,8,50
2024-04-27,Breakfast,205,7,3,0,0,0,8,173,0,35,0,14,2,4,0,1,3
2024-04-27,Lunch,2126,103,40,8,43,0,1094,916,2723,87,7,23,225,0,78,114,81
2024-04-28,Breakfast,2234,113,43,3,9,0,246,420,1669,76,9,23,250,0,58,23,23
2024-04-29,Breakfast,714,38,14,6,11,0,1004,557,509,50,4,11,40,4,0,17,37
2024-04-29,Dinner,1352,83,33,0,0,0,0,0,0,0,0,0,141,0,0,0,0
2024-04-29,Lunch,261,1,1,0,0,0,23,282,310,16,3,10,45,0,44,101,3
2024-04-30,Breakfast,526,29,8,4,7,0,655,320,388,36,5,5,31,0,0,12,29
2024-04-30,Dinner,532,17,5,0,0,0,267,786,276,42,1,30,57,0,33,2,3
2024-04-30,Lunch,992,27,10,1,1,0,191,1034,1013,102,37,5,138,2,7,91,30
2024-05-01,Breakfast,1920,86,36,4,7,0,722,920,722,85,7,13,196,0,40,214,26
2024-05-01,Lunch,141,0,0,0,0,0,3,32,447,25,1,21,12,0,34,15,4
2024-05-01,Snacks,110,3,1,0,0,0,0,105,0,21,0,10,1,4,0,0,2
2024-05-02,Breakfast,908,46,16,1,1,0,57,718,357,66,12,10,65,3,1,143,20
2024-05-02,Dinner,550,20,6,0,0,0,320,940,0,28,0,18,66,0,0,0,0
2024-05-02,Lunch,524,19,7,3,4,0,510,856,762,29,28,1,100,0,5,18,25
2024-05-02,Snacks,139,5,1,1,2,0,0,105,37,22,1,10,2,4,0,1,3
2024-05-03,Breakfast,1704,60,25,1,46,0,285,2999,1024,159,20,3,150,45,12,418,73
2024-05-03,Dinner,250,12,6,0,0,0,0,210,220,32,1,18,3,0,0,30,6
2024-05-03,Lunch,504,18,6,0,0,0,293,862,0,26,0,17,61,0,0,0,0
2024-05-05,Breakfast,1746,100,42,5,8,0,1194,1030,1127,7,1,4,211,0,6,111,75
2024-05-06,Breakfast,1033,41,16,7,13,1,1419,811,1658,2,0,1,189,0,10,22,49
2024-05-06,Dinner,616,24,8,1,1,0,20,413,306,62,10,4,45,0,0,103,18
2024-05-06,Lunch,308,18,4,2,5,0,0,665,145,49,30,10,19,4,0,15,11
2024-05-07,Breakfast,1462,78,31,4,8,0,885,1152,873,50,28,12,173,4,7,24,36
2024-05-07,Dinner,70,0,0,0,0,0,0,2,262,18,3,14,1,0,0,4,1
2024-05-07,Lunch,550,20,6,0,0,0,320,940,0,28,0,18,66,0,0,0,0
2024-05-08,Breakfast,1529,93,35,5,9,0,1301,1287,365,37,28,5,162,0,0,24,106
2024-05-08,Lunch,757,31,11,0,0,0,268,1147,0,63,4,15,55,0,0,0,0
2024-05-08,Snacks,90,2,1,0,0,0,0,105,0,17,0,8,1,4,0,0,2
2024-05-09,Breakfast,1533,67,27,6,21,0,1390,998,2947,9,1,7,210,0,0,79,87
2024-05-09,Snacks,90,2,1,0,0,0,0,105,0,17,0,8,1,4,0,0,2
2024-05-12,Breakfast,980,48,18,7,17,1,936,674,876,37,6,18,103,5,67,23,30
2024-05-12,Lunch,702,33,11,3,14,0,294,829,930,0,0,0,99,0,0,3,35
2024-05-13,Breakfast,2101,94,39,11,16,0,1559,2042,1717,108,35,26,227,8,2,143,74
2024-05-13,Snacks,90,2,1,0,0,0,0,105,0,17,0,8,1,4,0,0,2
2024-05-14,Breakfast,996,56,25,7,12,0,1277,915,708,34,0,22,84,8,2,47,38
2024-05-14,Dinner,442,16,5,1,1,0,23,258,225,46,7,3,33,0,0,12,13
2024-05-14,Lunch,760,34,16,6,11,0,313,285,1322,0,0,0,105,0,0,1,44
2024-05-15,Breakfast,492,34,12,6,11,0,1133,523,425,3,0,1,42,0,0,28,30
2024-05-15,Dinner,392,5,1,0,0,0,121,145,136,27,2,9,61,0,0,29,3
2024-05-15,Lunch,866,38,18,6,12,0,335,361,1876,10,4,3,115,0,223,8,53
2024-05-15,Snacks,280,13,5,0,0,0,5,200,0,40,2,18,3,0,0,0,2
2024-05-16,Breakfast,787,50,21,8,15,0,1250,662,860,3,0,1,76,0,0,28,44
2024-05-16,Dinner,292,12,2,1,1,0,0,71,181,38,6,2,10,0,0,3,14
2024-05-16,Lunch,978,27,10,5,5,0,343,1009,1645,54,33,12,153,0,223,23,47
2024-05-16,Snacks,10,0,0,0,0,0,0,5,0,0,0,0,0,0,70,4,0
2024-05-17,Breakfast,492,34,12,6,11,0,1133,523,425,3,0,1,42,0,0,28,30
2024-05-17,Dinner,538,12,5,1,1,0,97,172,261,58,6,1,55,0,0,38,13
2024-05-17,Lunch,942,49,18,4,20,2,339,355,1608,10,4,3,111,0,223,9,20
2024-05-17,Snacks,206,12,1,3,6,0,0,105,147,21,3,9,5,4,0,5,6
2024-05-18,Breakfast,1417,67,25,7,21,1,1427,962,1722,47,3,23,155,7,0,47,88
2024-05-19,Breakfast,1684,98,40,6,37,4,909,1111,2319,16,15,1,186,3,0,32,71
2024-05-19,Lunch,402,17,3,2,10,0,63,126,596,29,6,10,36,0,223,25,9
2024-05-20,Breakfast,1492,85,34,8,30,3,1430,886,2194,44,5,24,148,6,20,39,39
2024-05-20,Lunch,632,10,3,1,1,0,70,771,1010,69,13,7,68,0,0,50,25
2024-05-20,Snacks,100,2,1,0,0,0,0,210,0,19,0,8,1,4,0,30,2
2024-05-21,Breakfast,2076,88,33,8,30,3,1474,1710,3107,116,18,11,216,0,227,79,71
2024-05-22,Breakfast,618,40,16,6,11,0,1149,871,739,16,3,1,46,0,0,31,35
2024-05-22,Dinner,536,9,3,1,1,0,68,306,437,60,7,5,56,0,0,41,14
2024-05-22,Lunch,875,44,16,2,19,3,309,370,1746,10,4,3,128,0,229,10,18
2024-05-22,Snacks,203,1,0,0,0,0,0,239,425,49,2,31,3,0,33,2,7
2024-05-23,Breakfast,1585,84,35,8,28,2,1536,1407,2911,21,5,2,175,6,0,38,116
2024-05-23,Lunch,319,11,2,0,0,0,60,140,122,22,3,9,34,0,0,17,5
2024-05-23,Snacks,100,1,0,0,0,0,0,190,40,23,1,8,1,0,0,0,2
2024-05-24,Breakfast,636,42,17,6,11,0,1149,682,425,20,0,9,43,4,0,28,32
2024-05-24,Dinner,473,9,3,1,1,0,60,266,286,57,7,2,43,0,0,28,14
2024-05-24,Lunch,917,43,16,2,19,3,306,716,1686,18,4,0,128,0,6,6,19
2024-05-25,Breakfast,576,34,13,6,11,0,1130,663,454,25,1,9,39,0,0,17,31
2024-05-25,Dinner,492,14,3,0,0,0,0,109,122,89,7,37,8,25,91,3,7
2024-05-25,Lunch,1110,38,15,1,12,0,464,839,2702,10,5,1,175,0,0,29,69
2024-05-26,Breakfast,1793,115,44,10,48,0,1547,833,2332,2,0,1,197,0,6,24,80
2024-05-26,Dinner,25,0,0,0,0,0,0,0,0,6,0,3,0,0,15,0,0
2024-05-26,Lunch,180,5,3,0,0,0,15,75,115,17,2,2,20,25,25,25,10
2024-05-27,Breakfast,906,47,14,11,15,0,1184,1208,915,39,16,7,86,0,17,35,52
2024-05-27,Lunch,1169,72,30,0,0,0,347,286,1027,7,0,0,122,0,0,19,48
2024-05-28,Breakfast,773,47,15,10,13,0,1144,984,649,27,15,6,62,0,15,43,47
2024-05-28,Dinner,672,6,2,2,2,0,166,188,838,50,4,0,121,0,6,5,19
2024-05-28,Lunch,593,40,15,1,18,2,142,480,909,15,4,0,40,0,0,3,7
